Lemma#PoS	AFRAID	AMUSED	ANGRY	ANNOYED	DONT_CARE	HAPPY	INSPIRED	SAD
30th#a	0.103322782	0.133924949	0.0887958	0.079094035	0.110809009	0.171460822	0.086712729	0.225879874
31st#a	0.083265749	0	0.010447352	0.052614026	0.466741712	0.021027775	0.023903793	0.341999592
32nd#a	0	0	0	0	0	0	0	1
34th#a	0	0.616141949	0	0	0	0.383858051	0	0
35th#a	0	0	0	0	0	1	0	0
38th#a	0	0	0	0	0	1	0	0
3d#n	0.07305037	0.302118572	0.025873055	0.066149297	0.131832976	0.22959176	0.10737409	0.06400988
3rd#a	0.122422164	0.121041876	0.115850519	0.139763043	0.126058736	0.176234991	0.109347857	0.089280813
4#n	0.116897882	0.113512424	0.13461454	0.127698837	0.137179649	0.148788903	0.099961778	0.121345987
40#n	0.142821166	0.122287317	0.124512387	0.129057327	0.103505388	0.107343068	0.118494291	0.151979056
400th#a	0	0	0	0	0	0.342456699	0	0.657543301
40th#a	0.044250464	0.126913371	0.125429297	0.129593239	0.164333544	0.14044399	0.148132108	0.120903987
44th#a	0.09349446	0.069832982	0.475095316	0.139253758	0	0.056249532	0.166073953	0
45th#a	0	0.053041663	0.150357829	0.026442558	0.489736074	0.085448697	0.022115721	0.172857458
46th#a	0	0.092471143	0.428194033	0.354041186	0	0.056749917	0.068543721	0
49th#a	0	0	0	0	0	0	0	1
4th#a	0.128493478	0.120637655	0.087680422	0.128883875	0.139680615	0.186141577	0.103727606	0.104754772
5#n	0.124757621	0.115116313	0.130767132	0.120570027	0.138807547	0.146113784	0.10250999	0.121357586
50#n	0.168866553	0.147055634	0.096773596	0.099209343	0.104903218	0.125513485	0.099156462	0.158521709
500#n	0.174472391	0.123695368	0.103411565	0.088358111	0.09061778	0.133848253	0.121890771	0.16370576
50th#a	0.071723846	0.203229491	0.037408398	0.073165145	0.161470081	0.193727675	0.159272515	0.10000285
55th#a	0	0	0	0	0	0.572463083	0.195019485	0.232517432
5th#a	0.160290035	0.126260438	0.09505112	0.136996926	0.124700968	0.173524746	0.08269137	0.100484397
6#n	0.130226361	0.11863811	0.12748051	0.125928098	0.121414643	0.148269643	0.101413033	0.126629601
60#n	0.168081364	0.117055142	0.113749538	0.103499894	0.085008854	0.124624085	0.10034064	0.187640484
60th#a	0.032942486	0.233501598	0.098594166	0.059400968	0.071983752	0.169834105	0.138828699	0.194914225
64th#a	0.161224773	0	0.339845016	0.025468709	0.126211527	0.214474358	0.052069659	0.080705958
65th#a	0	0	0	0	0	0.257724267	0	0.742275733
6th#a	0.164583385	0.09272064	0.132107868	0.102557813	0.114230758	0.159145781	0.096577427	0.138076328
7#n	0.129894641	0.112307289	0.130525908	0.119857944	0.131168465	0.145584861	0.100734251	0.129926642
70#n	0.171699481	0.111865897	0.121991905	0.110844229	0.109512993	0.109393039	0.102060133	0.162632322
70th#a	0.031647693	0.251999432	0.039881001	0.080280095	0.19309146	0.264234781	0.075991198	0.06287434
75th#a	0.199990639	0.35118736	0.004562331	0.176152456	0.015813999	0.090747417	0.021529868	0.14001593
78#n	0.199929305	0.108414605	0.11034589	0.084461621	0.11388008	0.133710487	0.084641778	0.164616234
7th#a	0.073807074	0.130432208	0.142018794	0.114511786	0.137817275	0.180232143	0.116227739	0.104952981
8#n	0.123763073	0.109068206	0.128124503	0.11933523	0.129138217	0.155764004	0.098046664	0.136760103
80#n	0.163515116	0.102279691	0.097609529	0.109663241	0.104521915	0.125117052	0.092587613	0.204705842
80th#a	0.111800361	0.046782678	0.066249112	0.065748346	0.07991433	0.117506761	0.156942046	0.355056367
85th#a	0	0.019035548	0.158968735	0.639547143	0.038001313	0.05743745	0.014109994	0.072899817
8th#a	0.050588759	0.122393168	0.070550436	0.104435714	0.164394968	0.208241647	0.16033864	0.119056667
9#n	0.124517998	0.106070836	0.128496471	0.119377355	0.128219996	0.160521961	0.102342884	0.130452498
9-11#n	0.0466519	0.047428308	0.351204796	0.114638374	0.045087024	0.250181132	0.11886066	0.025947807
90#n	0.195268351	0.139316857	0.100659006	0.101228519	0.105128324	0.118055384	0.080138454	0.160205106
90th#a	0	0.179361857	0	0	0.121742506	0.507446226	0.191449411	0
95th#a	0	0.104471465	0.090254171	0	0.20855995	0.336601461	0.167784268	0.092328685
9th#a	0.084390286	0.120500234	0.09647011	0.123949582	0.116812666	0.203065403	0.12049263	0.13431909
a#n	0.142757637	0.115372722	0.131610949	0.103704103	0.121058494	0.126535443	0.123111254	0.135849398
a-bomb#n	0.349248927	0.308949468	0	0	0	0	0.341801605	0
a-line#n	0	0	0.484128623	0	0	0.515871377	0	0
a-list#n	0.191472474	0	0	0	0.166544804	0.332789965	0.309192756	0
a-team#n	0	0	0	0.014229816	0.646402205	0.099357033	0.240010946	0
a.k.a.#r	0.034427347	0.08450074	0.375373129	0.055110079	0.226585907	0.093744119	0.053370067	0.076888612
a.m.#r	0.371986443	0.05293863	0.080224639	0.081029524	0.080351267	0.090224883	0.05643489	0.186809725
aa#n	0.229937161	0.03261822	0.136870775	0.143040269	0.139536139	0.15156436	0.105347322	0.061085753
aaa#n	0.115425439	0.065597375	0.194568275	0.078484527	0.06765971	0.245402258	0.175855678	0.057006737
aar#n	0	0	0	0.491875728	0	0.508124272	0	0
aarhus#n	0	0.240929832	0	0	0.084878196	0.117417934	0.556774038	0
aaron#n	0.064384314	0.204685398	0.045299531	0.06043349	0.098654976	0.092635738	0.13618704	0.297719512
aas#n	0	0	0	0	0.260254936	0.114294864	0.142649283	0.482800917
ab#n	0.042123496	0.175036809	0.062248317	0.102524847	0.21101619	0.176775011	0.216157792	0.014117538
aba#n	0.030359579	0.09553403	0.132899312	0.117233321	0.055748293	0.12312221	0.213894803	0.231208453
abaca#n	0	0.04465632	0.000925899	0.078751737	0.00499234	0.030255965	0.123401457	0.717016281
aback#r	0.032347393	0.164193784	0.219774646	0.196221077	0.151934981	0.089089602	0.125886536	0.020551981
abandon#n	0.187460359	0.159716995	0.110842247	0.076730427	0.128067508	0.124908233	0.107359272	0.104914958
abandon#v	0.106486739	0.141248768	0.115637017	0.13230699	0.134634858	0.092814892	0.114505762	0.162364973
abandoned#a	0.257544895	0.132044847	0.153052018	0.060397485	0.063344533	0.067851555	0.11270001	0.153064658
abandonment#n	0.150817376	0.117261446	0.102282369	0.225923406	0.04862802	0.097690026	0.192314409	0.065082948
abase#v	0.018398684	0.344704325	0.013850896	0.372024799	0.208043839	0.00983937	0.011884194	0.021253893
abate#v	0.286181837	0.158302798	0.046835519	0.069188202	0.03896202	0.203285292	0.050633475	0.146610856
abatement#n	0	0	0	0	0	0	0	1
abattoir#n	0	0.124829683	0.492028591	0.039601311	0	0.00478803	0.22843173	0.110320655
abaya#n	0.078611621	0.104017169	0.130835246	0.199676857	0.085838446	0.213406719	0.103133555	0.084480389
abb#n	0	0	0	0	0	0.41344354	0.58655646	0
abbess#n	0.011817185	0.15188943	0.106754545	0.063469942	0.010278714	0.173001022	0.482789162	0
abbey#n	0.021644073	0.27819705	0.012996476	0.032237403	0.22994915	0.247621471	0.157113918	0.020240459
abbot#n	0	0.574301905	0	0	0	0	0.425698095	0
abbreviate#v	0.07432122	0.142121218	0.379220016	0.151322483	0.079011033	0.142975165	0.004000502	0.027028361
abbreviated#a	0	0	0.105086602	0	0.561989185	0.107711009	0.154569004	0.0706442
abbreviation#n	0	0.234671284	0.013845343	0.33369199	0.30165689	0.006674038	0.109460455	0
abc#n	0.147010701	0.158590651	0.09548397	0.096695447	0.149833353	0.114789933	0.060320478	0.177275468
abcs#n	0	0	0	0	0	0.383079017	0.616920983	0
abdicate#v	0.026544644	0.119336032	0.063129178	0.173829795	0.120691533	0.060170494	0.137556745	0.298741579
abdication#n	0.085388358	0.177752664	0.00102035	0.212395317	0.245214522	0.081906255	0.135260052	0.061062481
abdomen#n	0	0.114907784	0.08005664	0	0.369990855	0.190516055	0.031597087	0.212931579
abdominal#a	0.237747226	0.021216698	0.053909893	0.009049874	0	0.101102481	0.332112156	0.244861672
abduct#v	0.140102749	0.043395473	0.282587481	0.077092689	0.068213222	0.082661185	0.061947646	0.243999555
abducting#a	0.05824458	0	0.589751294	0	0	0.182996971	0.124151626	0.044855529
abduction#n	0.162317993	0.028149453	0.245347094	0.082491099	0.102638452	0.082076158	0.074366124	0.222613627
abductor#n	0.206667579	0.029787041	0.22731159	0.067777321	0.075185489	0.03188569	0.058497929	0.302887362
abed#r	0	0.363107743	0.636892257	0	0	0	0	0
abel#n	0	0.04077614	0.098862881	0.358629406	0.018381277	0.200599485	0.282750811	0
abelard#n	0	0	0	0	0	0	1	0
aberdeen#n	0	0	0	0	0	0.212999457	0.079158503	0.70784204
aberrant#a	0	0.237769036	0	0.247843076	0.069222189	0.117039861	0.194603828	0.13352201
aberration#n	0.015585985	0.054327003	0.171601558	0.140340901	0.25080184	0.12398574	0.123325616	0.120031358
abet#v	0.073429593	0.148227064	0.185363022	0.209007204	0.06269792	0.132578454	0.077672234	0.111024509
abeyance#n	0.058957694	0.004533194	0.485618934	0.157782636	0.054298622	0.165531368	0.042562597	0.030714954
abhor#v	0.061788696	0.213449667	0.171111549	0.128284436	0.034550015	0.157547958	0.112605874	0.120661804
abhorrent#a	0	0.408121197	0	0.591878803	0	0	0	0
abide#v	0.138083575	0.129285645	0.179553567	0.192830443	0.095445189	0.095692094	0.101354329	0.067755158
abiding#a	0.203538592	0.025746553	0.041190297	0.239246208	0.081857223	0.13050261	0.167519404	0.110399113
abidjan#n	0.406696213	0.007087966	0.097974083	0.10664816	0.081362204	0.021477699	0	0.278753675
abila#n	0	0.105209415	0.027267508	0.122064177	0.063009943	0.487484223	0.194964734	0
ability#n	0.123526389	0.171714418	0.071375022	0.111811978	0.12203477	0.129718008	0.181247405	0.08857201
abject#a	0.090048393	0.073019655	0.093211557	0.121702453	0.054392399	0.229078619	0.298093693	0.040453232
abjectly#r	0	0.156672378	0	0.537052488	0	0.253487621	0.052787513	0
ablaze#a	0.290707008	0.022376988	0.135322266	0.029390747	0.057314947	0.055967836	0.062278806	0.346641402
able#a	0.115646407	0.108077987	0.115620202	0.119141492	0.117357784	0.13608737	0.171365355	0.116703402
able-bodied#a	0.123809357	0.039523493	0.090899067	0.073585262	0.091697033	0.040808625	0.134209961	0.405467202
ably#r	0.035362615	0.207147047	0.202620573	0.059586552	0.100820448	0.243747612	0.124994544	0.02572061
abnormal#a	0.303294628	0.157520841	0.051438515	0.091815215	0.150461354	0.065372538	0.114154334	0.065942574
abnormality#n	0.289373891	0.142554291	0.13519615	0.038591415	0.072095119	0.063767682	0.117878051	0.140543401
abnormally#r	0.049912005	0.436914153	0.104184538	0.186363488	0.130241986	0.050957972	0.011723446	0.029702412
abo#n	0	0	0	0.862865276	0	0.020285507	0	0.116849217
aboard#r	0.176576251	0.059349835	0.171384902	0.115559965	0.130549723	0.210108111	0	0.136471212
abode#n	0	0.055762231	0.092493447	0.0355825	0.004452802	0.072549598	0.348854266	0.390305155
abolish#v	0.106734063	0.118038375	0.160958952	0.160016515	0.088403471	0.16415029	0.091227836	0.110470498
abolition#n	0.059113757	0.079024391	0.145137248	0.2996717	0.10400414	0.074542594	0.04295602	0.19555015
abolitionist#n	0	0.218558412	0.044427123	0.186449937	0	0.114405161	0.095297181	0.340862185
abominable#a	0.106430362	0.009274426	0.248380977	0.016812825	0.032400993	0.133044728	0.33685622	0.116799469
abomination#n	0	0	0	1	0	0	0	0
aboriginal#a	0.005900429	0.115687816	0.08217627	0.024855785	0.518357886	0.029188101	0.084482536	0.139351176
abort#v	0.09345859	0.105805967	0.150518887	0.140859948	0.093285075	0.094122927	0.149681361	0.172267246
abortifacient#a	0.021868281	0.107985093	0.234138696	0.133575412	0.031702107	0.129942925	0.324881832	0.015905654
abortifacient#n	0.033603673	0.081258956	0.349738133	0.169868119	0.042381809	0.131411429	0.153566379	0.038171501
abortion#n	0.176873971	0.095772701	0.196937925	0.11684341	0.052101987	0.093916549	0.15947291	0.108080548
abortionist#n	0	0.674030455	0	0	0	0.127595148	0.124283912	0.074090484
abortive#a	0.018993482	0.012413303	0.593394861	0.06000808	0	0.038090473	0.251501974	0.025597827
abound#v	0.05173776	0.172768583	0.087490403	0.127840733	0.132655314	0.138343301	0.149262231	0.139901675
abounding#a	0	0.408121197	0	0.591878803	0	0	0	0
about#a	0	0.53355985	0	0.101244406	0.288689236	0.076506508	0	0
about#r	0.157229568	0.118446015	0.119137224	0.109483581	0.109700293	0.112051195	0.123422596	0.150529528
about-face#n	0.116695596	0.309690648	0.079864335	0.14077198	0.092275524	0.01560181	0	0.245100108
above#a	0.139712553	0.162373528	0.155798389	0.119783067	0.136780823	0.105409371	0.111413584	0.068728686
above#r	0.119901097	0.14831631	0.085569146	0.111228405	0.106542881	0.133827672	0.167207058	0.127407431
above-mentioned#a	0.089083342	0.127677516	0.161482363	0.167388836	0.263043364	0.088385807	0.074955077	0.027983696
above-named#a	0	0	0	0	0.571392116	0.1756548	0	0.252953083
aboveboard#a	0.191315926	0.025933322	0.257647296	0.193422169	0.022187818	0.1716588	0.134560515	0.003274154
abracadabra#n	0	0.156672378	0	0.537052488	0	0.253487621	0.052787513	0
abraham#n	0.084699277	0.182584889	0.122914793	0.174472449	0.158773922	0.116445002	0.069103704	0.091005963
abrasion#n	0.38340854	0.011136841	0.48106264	0	0.026679427	0.015036395	0	0.082676157
abrasive#a	0.04906317	0.074819561	0.032318765	0.012917531	0.309398604	0.080354872	0.047536786	0.39359071
abreast#a	0.00325531	0.182967333	0.133561086	0.139873807	0.045304053	0.302480698	0.185036739	0.007520974
abreast#r	0	0	0	0	0	0.456664075	0.543335925	0
abridge#v	0.008065102	0.180385168	0.182147077	0.365226431	0.030398817	0.052116725	0.078141917	0.103518762
abridged#a	0	0.676924685	0.125732748	0.068719822	0	0	0	0.128622745
abridgment#n	0.024371937	0.01061895	0.752254871	0.123201269	0.042397943	0.003258446	0.015742475	0.028154108
abroad#a	0.403463135	0.02704469	0.280370846	0.027455141	0.032394143	0.117011928	0.050116816	0.062143301
abroad#r	0.140892961	0.10991117	0.103602495	0.110370967	0.116934982	0.151284371	0.153396784	0.11360627
abrogate#v	0.334085326	0.040236733	0.179939314	0.204236986	0.108676303	0.038492727	0.031579682	0.06275293
abrogation#n	0	0.019445373	0.775158214	0.092659448	0.038819461	0.005966852	0.067950651	0
abrupt#a	0.144631394	0.124322088	0.086464636	0.129847947	0.13946368	0.103245903	0.096380261	0.175644092
abruptly#r	0.013971399	0.149843538	0.133901558	0.082170711	0.181352272	0.136071456	0.091633319	0.211055746
abs#n	0.298805341	0.084185794	0.052721862	0.151592123	0.258654538	0.043406421	0.02876535	0.08186857
abscess#n	0.137702622	0.629974566	0	0.174023279	0	0.058299534	0	0
abscond#v	0	0.561004688	0.077545405	0	0	0.029264724	0	0.332185183
absconder#n	0	0	0.1766429	0	0	0.066662952	0	0.756694147
abseil#v	0	0	0	0	0	1	0	0
absence#n	0.077534618	0.108997207	0.143708604	0.154569611	0.16178936	0.117181362	0.100351808	0.135867429
absent#a	0.081119867	0.163559011	0.151401769	0.174994518	0.126045719	0.107347446	0.092611756	0.102919914
absent#v	0.212646978	0.066241229	0.286133021	0.117414624	0.050130054	0.096051524	0.103657545	0.067725026
absentee#n	0.057574512	0.128681971	0.204851669	0.140225053	0.141203552	0.11831282	0.083498473	0.125651951
absenteeism#n	0.135399693	0.181765859	0.307172209	0.143364884	0.038196356	0.076323991	0.091003823	0.026773184
absinthe#n	0	0.05516382	0	0.040000735	0	0.761720882	0.143114563	0
absolute#a	0.109553608	0.085092822	0.183344671	0.151047087	0.087967305	0.107587801	0.154404575	0.121002131
absolutely#r	0.132265655	0.149564933	0.11095606	0.112314581	0.133076693	0.120123534	0.129175	0.112523544
absoluteness#n	0	0	0	0	0	1	0	0
absolution#n	0.024647763	0.05369564	0.723657754	0.077872239	0.064316663	0.00988597	0.007960319	0.037963651
absolutism#n	0	0	0	0	0.49981033	0.039948857	0.460240813	0
absolutist#a	0.065905824	0.301511997	0	0.083289246	0	0.17475919	0.251874294	0.122659449
absolve#v	0.133892045	0.104328072	0.217059341	0.108328687	0.146654254	0.063268852	0.114626137	0.111842612
absorb#v	0.126660389	0.075434015	0.129360424	0.102979242	0.086294005	0.161740593	0.215492813	0.102038518
absorbed#a	0	0	0	0	0	1	0	0
absorbency#n	0	0	0	0	0	1	0	0
absorbent#a	0	0.556419318	0.050599729	0	0	0.17298496	0.168233217	0.051762776
absorber#n	0.03239542	0.12350461	0.009145469	0.168877853	0.126800469	0.372479676	0.154322264	0.01247424
absorbing#a	0.04532257	0.201062636	0.139580726	0.164020274	0.086011757	0.122842098	0.206255955	0.034903983
absorption#n	0	0.15107593	0.236480094	0.039047213	0.062708502	0.196447581	0.077612807	0.236627872
absorptive#a	0.416336001	0.006255146	0.016211691	0.009071542	0	0.485609316	0.027819555	0.038696749
abstain#v	0.219304567	0.095171184	0.140430982	0.11060183	0.102343155	0.126353688	0.134694132	0.071100463
abstention#n	0.198411881	0.141814955	0.074684208	0.157772328	0.080796242	0.181218181	0.097199581	0.068102623
abstinence#n	0.02566394	0.180943151	0.106261786	0.171010891	0.145097997	0.092330007	0.216254669	0.062437559
abstract#a	0.025929456	0.308917839	0.015250165	0.117250324	0.03453538	0.151342309	0.254106407	0.092668119
abstract#n	0	0.141994119	0.025977271	0.152628493	0.176750451	0.166083105	0.222887332	0.113679229
abstract#v	0.010869692	0.197331986	0.087284483	0.249550019	0.018909148	0.192796684	0.149781748	0.093476241
abstraction#n	0.133345362	0.241199304	0.13232574	0.084258371	0.11598522	0.141001912	0.148772199	0.003111891
abstruse#a	0	0	0.104000898	0.029097782	0.320434642	0.511002883	0	0.035463795
absurd#a	0.02617185	0.139469645	0.20157367	0.171523439	0.17277713	0.085279069	0.132531534	0.070673664
absurdity#n	0.098056427	0.163126373	0.059278758	0.045061797	0.023261053	0.168044001	0.265824406	0.177347183
absurdly#r	0	0	0.314280119	0	0	0.685719881	0	0
abuja#n	0	0.002968038	0.448721768	0.036587443	0.136279509	0.102686903	0.010450199	0.26230614
abundance#n	0.058180833	0.168765958	0.049499649	0.03877778	0.099132908	0.141719377	0.286487181	0.157436313
abundant#a	0.071256819	0.119825555	0.079135323	0.121681332	0.087591489	0.15494825	0.208641475	0.156919757
abundantly#r	0.337977054	0.018913864	0.02684415	0.031348433	0.105184092	0.093689232	0.308435523	0.077607652
abuse#n	0.101418881	0.075689631	0.242148654	0.125042786	0.100585583	0.104238292	0.108419253	0.142456919
abuse#v	0.128962212	0.095018758	0.21344835	0.13234262	0.091470979	0.097511129	0.11996806	0.121277891
abused#a	0.057461946	0.070716842	0.230332525	0.129311353	0.080671111	0.122784733	0.148790304	0.159931187
abuser#n	0.018954041	0.110661901	0.227828042	0.32656453	0.050558378	0.070616691	0.079987033	0.114829384
abusive#a	0.102429942	0.119624476	0.249353036	0.096084388	0.073786297	0.103297303	0.137098974	0.118325583
abusively#r	0	0	0.484128623	0	0	0.515871377	0	0
abut#v	0.028790263	0.106624268	0.146298711	0.054576041	0.075126234	0.246346345	0.065087355	0.277150782
abuzz#a	0.078729491	0.188572421	0.119179005	0.215662794	0.17064414	0.089782819	0.063360646	0.074068683
aby#v	0	0	0	0	0	0.581385563	0	0.418614437
abysmal#a	0	0.500885597	0.043272117	0.017295491	0	0.153697766	0.206855256	0.077993774
abysmally#r	0	0.80273637	0.069349373	0	0.0801265	0.012316065	0	0.035471692
abyss#n	0.312337672	0.053251341	0.112455401	0.14342323	0.052310025	0.072882848	0.209265636	0.044073849
ac#n	0.056175601	0.179869639	0.010818401	0.096582908	0.067043399	0.337884701	0.152524824	0.099100528
acacia#n	0	0.169555603	0	0.078687502	0.115086476	0.468256341	0.168414078	0
